Cluster,AD PRS,PD PRS,ALS PRS,DLB PRS,FTD PRS
Cluster 0,0.055 (0.999),-0.057 (0.948),-0.123 (0.901)*,-0.033 (0.990),-0.006 (1.021)
Cluster 1,-0.150 (0.981)*,0.172 (1.087)*,0.422 (1.246)*,0.134 (1.001),0.073 (0.969)
