Cluster,AD PRS,PD PRS,ALS PRS,DLB PRS,FTD PRS
Cluster 0,-0.159 (0.867)*,-0.041 (0.931),-0.034 (0.945),-0.226 (0.927)*,-0.081 (1.032)
Cluster 1,0.113 (1.099)*,0.044 (1.045),0.079 (1.116),0.250 (1.021)*,0.070 (0.958)
