Cluster,AD PRS,PD PRS,ALS PRS,DLB PRS,FTD PRS
Cluster 0,-0.008 (0.951),-0.019 (0.957),-0.084 (0.895)*,-0.058 (0.979),-0.035 (1.021)
Cluster 1,0.145 (1.037)*,-0.048 (1.058),0.231 (1.165)*,0.213 (1.010)*,0.061 (0.971)
Cluster 2,-0.397 (0.771),0.165 (0.761),0.107 (1.345),-0.418 (0.757),-0.292 (0.904)
