Cluster,AD PRS,PD PRS,ALS PRS,DLB PRS,FTD PRS
Cluster 0,-0.039 (0.868),-0.113 (0.915)*,-0.114 (0.826)*,-0.129 (0.971)*,0.013 (0.974)
Cluster 1,0.130 (1.151)*,0.159 (1.114)*,0.182 (1.149)*,0.174 (1.086)*,0.013 (0.986)
Cluster 2,-1.105 (0.789)*,0.028 (0.904),0.009 (1.235),-0.234 (0.949),-0.082 (1.266)
