Cluster,AD PRS,PD PRS,ALS PRS,DLB PRS,FTD PRS
Cluster 0,0.095 (0.986)*,-0.036 (1.008),-0.034 (0.925),-0.031 (1.076),0.017 (1.004)
Cluster 1,-0.059 (1.094),0.096 (1.115),0.024 (1.090),0.137 (0.975)*,0.005 (1.010)
